Date,Open,High,Low,Close,Volume,Adj Close
2016-09-01,57901.00,58417.00,57638.00,58236.00,7375200,58236.00
2016-08-01,57309.00,59418.00,55696.00,57901.00,3696300,57901.00
2016-07-01,51540.00,57474.00,50825.00,57308.00,3504100,57308.00
2016-06-01,48468.00,51812.00,48067.00,51527.00,3649900,51527.00
2016-05-02,53910.00,54113.00,48292.00,48472.00,3313700,48472.00
2016-04-01,50054.00,54978.00,47874.00,53911.00,4690400,53911.00
2016-03-01,42795.00,52262.00,42795.00,50055.00,5709800,50055.00
2016-02-01,40397.00,43601.00,38596.00,42794.00,3495500,42794.00
2016-01-04,43349.00,43349.00,37046.00,40406.00,3974400,40406.00
2015-12-01,45121.00,47142.00,43137.00,43350.00,3351800,43350.00
2015-11-03,45869.00,49054.00,45106.00,45120.00,3382000,45120.00
2015-10-01,45064.00,49752.00,44789.00,45869.00,2587000,45869.00
2015-09-01,46625.00,49396.00,43767.00,45059.00,3826700,45059.00
2015-08-03,50867.00,50867.00,42749.00,46626.00,3453000,46626.00
2015-07-01,53081.00,53456.00,48624.00,50865.00,2047900,50865.00
2015-06-01,52753.00,54361.00,52548.00,53081.00,2919400,53081.00
2015-05-01,55312.00,58575.00,52760.00,52760.00,2615600,52760.00
2015-04-01,51186.00,56965.00,51186.00,56229.00,000,56229.00
2015-03-02,51580.00,52319.00,47905.00,51150.00,000,51150.00
2015-02-02,46933.00,52457.00,46760.00,51583.00,000,51583.00
2015-01-02,50005.00,50281.00,46484.00,46908.00,000,46908.00
2014-12-01,54719.00,54719.00,45853.00,50007.00,2579100,50007.00
2014-11-03,54629.00,57359.00,50886.00,54664.00,3500900,54664.00
2014-10-01,54115.00,58897.00,48722.00,54629.00,5268400,54629.00
2014-09-01,61295.00,62305.00,53536.00,54116.00,4044100,54116.00
2014-08-01,55827.00,61443.00,55239.00,61288.00,3699500,61288.00
2014-07-01,53170.00,58138.00,52735.00,55829.00,3110700,55829.00
2014-06-02,51239.00,55284.00,51239.00,53168.00,2661600,53168.00
2014-05-01,51627.00,54459.00,51239.00,51239.00,3556200,51239.00
2014-04-01,50412.00,53394.00,49774.00,51627.00,3526900,51627.00
2014-03-03,47094.00,50418.00,44905.00,50415.00,3394100,50415.00
2014-02-03,47623.00,48669.00,46109.00,47094.00,3406300,47094.00
2014-01-01,51507.00,51656.00,46814.00,47639.00,3366300,47639.00
2013-12-02,52479.00,52479.00,49842.00,51507.00,2831800,51507.00
2013-11-01,54255.00,54539.00,51290.00,52482.00,3591600,52482.00
2013-10-01,52337.00,56747.00,51870.00,54256.00,6214000,54256.00
2013-09-02,50012.00,55900.00,50012.00,52338.00,6308400,52338.00
2013-08-01,48235.00,52398.00,47164.00,50008.00,7246000,50008.00
2013-07-01,47458.00,49669.00,44107.00,48234.00,5124200,48234.00
2013-06-03,53512.00,54289.00,45406.00,47457.00,5998100,47457.00
2013-05-02,55919.00,57099.00,52942.00,53506.00,5589900,53506.00
2013-04-01,56348.00,56976.00,52392.00,55910.00,5162000,55910.00
2013-03-01,57422.00,59472.00,54648.00,56352.00,4547900,56352.00
2013-02-01,59764.00,60496.00,55430.00,57424.00,4195700,57424.00
2013-01-02,60990.00,63473.00,59114.00,59761.00,3719600,59761.00
2012-12-03,57479.00,61322.00,57129.00,60952.00,3604200,60952.00
2012-11-01,57065.00,59561.00,55126.00,57475.00,3530800,57475.00
2012-10-01,59171.00,60412.00,56581.00,57068.00,2956500,57068.00
2012-09-03,57065.00,63428.00,56203.00,59176.00,3917500,59176.00
2012-08-01,56091.00,60209.00,55239.00,57061.00,3536000,57061.00
2012-07-02,54355.00,57466.00,52213.00,56097.00,2855600,56097.00
2012-06-01,54488.00,57611.00,52271.00,54355.00,3333900,54355.00
2012-05-02,61820.00,62783.00,53028.00,54490.00,3723500,54490.00
2012-04-02,64515.00,65593.00,60897.00,61820.00,2811200,61820.00
2012-03-01,65812.00,68970.00,64096.00,64511.00,2670200,64511.00
2012-02-01,63085.00,66662.00,63085.00,65812.00,2961100,65812.00
2012-01-02,56755.00,63805.00,56649.00,63072.00,2788400,63072.00
2011-12-01,56876.00,59576.00,55298.00,56754.00,2552300,56754.00
2011-11-01,58300.00,59616.00,54537.00,56875.00,2684900,56875.00
2011-10-03,52319.00,59901.00,49433.00,58338.00,2805400,58338.00
2011-09-01,56498.00,58589.00,51897.00,52324.00,2749400,52324.00
2011-08-01,58823.00,59542.00,47793.00,56495.00,3270700,56495.00
2011-07-01,62404.00,63891.00,58009.00,58823.00,2099100,58823.00
2011-06-01,64616.00,64979.00,60489.00,62404.00,1978800,62404.00
2011-05-02,66119.00,66500.00,61659.00,64620.00,2308500,64620.00
2011-04-01,68588.00,70108.00,65105.00,66133.00,1970800,66133.00
