Date,Open,High,Low,Close,Volume,Adj Close
2016-09-01,3063.31,3063.31,3063.31,3063.31,000,3063.31
2016-08-01,2953.39,3125.20,2953.39,3085.49,000,3085.49
2016-07-01,2932.48,3060.69,2932.48,2979.34,000,2979.34
2016-06-01,2913.51,2938.68,2833.07,2929.61,000,2929.61
2016-05-03,2992.64,2997.84,2806.91,2916.62,000,2916.62
2016-04-01,3009.53,3082.36,2938.32,2938.32,000,2938.32
2016-03-01,2733.17,3018.80,2733.17,3003.92,000,3003.92
2016-02-01,2688.85,2928.90,2687.98,2687.98,000,2687.98
2016-01-04,3296.26,3361.84,2655.66,2737.60,000,2737.60
2015-12-01,3456.31,3651.77,3434.58,3539.18,000,3539.18
2015-11-02,3325.08,3650.25,3316.70,3445.40,000,3445.40
2015-10-12,3287.66,3434.34,3262.44,3382.56,000,3382.56
2015-09-01,3166.62,3243.09,3005.17,3052.78,000,3052.78
2015-08-03,3622.91,3993.67,2927.29,3205.99,000,3205.99
2015-07-01,4053.70,4123.92,3507.19,3663.73,000,3663.73
2015-06-01,4828.74,5166.35,4053.03,4277.22,000,4277.22
2015-05-04,4480.46,4941.71,4112.21,4611.74,000,4611.74
2015-04-01,3810.29,4527.40,3810.29,4441.65,000,4441.65
2015-03-02,3336.28,3786.57,3241.19,3747.90,000,3747.90
2015-02-02,3128.30,3310.30,3075.91,3310.30,000,3310.30
2015-01-05,3350.52,3383.18,3116.35,3210.36,000,3210.36
2014-12-01,2680.16,3234.68,2680.16,3234.68,000,3234.68
2014-11-03,2430.03,2682.83,2418.17,2682.83,000,2682.83
2014-10-08,2382.79,2420.18,2290.44,2420.18,000,2420.18
2014-09-01,2235.51,2363.87,2235.51,2363.87,000,2363.87
2014-08-01,2185.30,2245.33,2185.30,2217.20,000,2217.20
2014-07-01,2050.38,2201.56,2038.34,2201.56,000,2201.56
2014-06-03,2038.31,2085.98,2023.73,2048.33,000,2048.33
2014-05-05,2027.35,2052.87,2005.18,2039.21,000,2039.21
2014-04-01,2047.46,2134.30,2003.49,2026.36,000,2026.36
2014-03-03,2075.24,2075.24,1993.48,2033.31,000,2033.31
2014-02-07,2044.50,2142.55,2034.22,2056.30,000,2056.30
2014-01-02,2109.39,2109.39,1991.25,2033.08,000,2033.08
2013-12-02,2207.37,2251.76,2073.10,2115.98,000,2115.98
2013-11-01,2149.56,2220.50,2087.94,2220.50,000,2220.50
2013-10-08,2198.20,2237.77,2128.86,2141.61,000,2141.61
2013-09-02,2098.45,2255.60,2098.45,2174.67,000,2174.67
