Date,Open,High,Low,Close,Volume,Adj Close
2016-09-01,22897.160156,23193.029297,22843.419922,23162.339844,4213071600,23162.339844
2016-08-01,22027.650391,23193.900391,21725.380859,22976.880859,1837973400,22976.880859
2016-07-04,20967.470703,22300.509766,20304.390625,21891.369141,1672966300,21891.369141
2016-06-01,20726.529297,21352.369141,19662.699219,20794.369141,1954973000,20794.369141
2016-05-03,21061.769531,21061.769531,19594.609375,20815.089844,1689310500,20815.089844
2016-04-01,20786.179688,21654.070312,20045.470703,21067.050781,1616370400,21067.050781
2016-03-01,19259.990234,20872.550781,19108.300781,20776.699219,1707072100,20776.699219
2016-02-01,19770.960938,19770.960938,18278.800781,19111.929688,1662368900,19111.929688
2016-01-04,21782.619141,21794.839844,18534.300781,19683.109375,2145778300,19683.109375
2015-12-01,22197.810547,22563.470703,21010.259766,21914.400391,1364232200,21914.400391
2015-11-02,22502.279297,23342.070312,21907.449219,21996.419922,1419252200,21996.419922
2015-10-02,21172.939453,23423.640625,21130.109375,22640.039062,1792652300,22640.039062
2015-09-01,21692.779297,22228.589844,20368.119141,20846.300781,2122209200,20846.300781
2015-08-03,24533.140625,24924.070312,20865.259766,21670.580078,2122189700,21670.580078
2015-07-02,26459.429688,26459.429688,22836.820312,24636.279297,2175809100,24636.279297
2015-06-01,27373.060547,27854.740234,25617.779297,26250.029297,2142265700,26250.029297
2015-05-01,28289.140625,28524.599609,27191.029297,27424.189453,1996930300,27424.189453
2015-04-01,24955.199219,28588.519531,24926.109375,28133.00,3074082600,28133.00
2015-03-02,24996.759766,25113.199219,23677.060547,24900.890625,1779316100,24900.890625
2015-02-02,24347.269531,25101.960938,24226.289062,24823.289062,1453331700,24823.289062
2015-01-02,23699.199219,24995.080078,23312.50,24507.050781,1948871100,24507.050781
2014-12-01,23678.00,24189.589844,22529.75,23605.039062,2588409900,23605.039062
2014-11-03,24133.449219,24313.060547,23252.630859,23987.449219,2012868900,23987.449219
2014-10-03,22691.589844,24046.400391,22565.599609,23998.060547,1640102300,23998.060547
2014-09-01,24703.740234,25362.980469,22855.039062,22932.980469,1783195400,22932.980469
2014-08-01,24594.230469,25243.160156,24190.929688,24742.060547,1419447500,24742.060547
2014-07-02,23326.529297,24912.220703,23126.679688,24756.849609,1529905500,24756.849609
2014-06-03,23327.509766,23397.769531,22802.099609,23190.720703,1478374400,23190.720703
2014-05-02,22194.660156,23209.259766,21680.330078,23081.650391,1500537800,23081.650391
2014-04-01,22292.320312,23224.539062,22096.949219,22133.970703,1691060000,22133.970703
2014-03-03,22630.769531,22839.429688,21137.609375,22151.060547,1817199000,22151.060547
2014-02-04,21561.699219,22986.699219,21197.779297,22836.960938,1802182000,22836.960938
2014-01-02,23452.759766,23469.330078,21746.230469,22035.419922,1745695800,22035.419922
2013-12-02,23936.150391,24111.550781,22713.699219,23306.390625,1391954200,23306.390625
2013-11-01,23208.800781,24014.810547,22463.400391,23881.289062,1652506400,23881.289062
2013-10-02,22997.210938,23534.669922,22640.179688,23206.369141,1452385900,23206.369141
2013-09-02,21948.720703,23554.339844,21948.720703,22859.859375,1816720500,22859.859375
2013-08-01,22025.75,22695.990234,21465.720703,21731.369141,1552296900,21731.369141
2013-07-01,20803.289062,22070.140625,20119.560547,21883.660156,1506915800,21883.660156
2013-06-03,22301.679688,22564.179688,19426.359375,20803.289062,2392547600,20803.289062
2013-05-01,22737.009766,23512.419922,22290.720703,22392.160156,1592387100,22392.160156
2013-04-01,22299.630859,22862.689453,21423.25,22737.009766,1525176900,22737.009766
2013-03-01,22957.089844,23262.019531,21975.900391,22299.630859,1932594600,22299.630859
2013-02-01,23763.339844,23944.740234,22445.339844,23020.269531,1557330600,23020.269531
2013-01-02,22860.25,23916.160156,22860.25,23729.529297,1753042300,23729.529297
2012-12-03,22070.439453,22718.830078,21687.880859,22656.919922,1500475500,22656.919922
2012-11-01,21573.929688,22149.699219,21098.410156,22030.390625,1441551100,22030.390625
2012-10-01,20840.380859,21847.699219,20767.359375,21641.820312,1593868900,21641.820312
2012-09-03,19414.619141,20895.609375,19076.789062,20840.380859,1735606300,20840.380859
2012-08-01,19646.960938,20300.029297,19450.769531,19482.570312,1305904900,19482.570312
2012-07-02,19441.460938,19869.109375,18710.589844,19796.810547,1433367200,19796.810547
2012-06-01,18498.910156,19578.820312,18056.400391,19441.460938,1650371100,19441.460938
2012-05-02,21245.480469,21385.300781,18378.140625,18629.519531,2225198200,18629.519531
2012-04-02,20662.970703,21105.570312,20035.679688,21094.210938,1616989900,21094.210938
2012-03-01,21578.189453,21641.140625,20374.029297,20555.580078,1723090500,20555.580078
2012-02-01,20394.669922,21760.339844,20269.509766,21680.080078,1720332000,21680.080078
2012-01-03,18770.640625,20590.800781,18302.839844,20390.490234,1854060000,20390.490234
2011-12-01,19033.960938,19242.800781,17821.519531,18434.390625,1452402100,18434.390625
2011-11-01,19461.080078,20173.140625,17613.199219,17989.349609,2117359700,17989.349609
2011-10-03,17179.199219,20272.380859,16170.349609,19864.869141,2298894000,19864.869141
2011-09-01,20790.220703,20975.300781,16999.539062,17592.410156,2334174000,17592.410156
2011-08-01,22739.550781,22808.330078,18868.109375,20534.849609,2621420000,20534.849609
2011-07-04,22813.25,22835.029297,21611.160156,22440.25,1999129500,22440.25
2011-06-01,23686.769531,23706.00,21508.769531,22398.099609,1745792200,22398.099609
2011-05-02,23720.810547,23924.480469,22519.660156,23684.130859,1289308800,23684.130859
2011-04-01,23664.480469,24468.640625,23468.199219,23720.810547,1457782400,23720.810547
2011-03-01,23317.960938,23934.070312,22123.259766,23527.519531,1906962900,23527.519531
2011-02-01,23451.619141,23981.740234,22446.669922,23338.019531,1643417500,23338.019531
2011-01-03,23135.640625,24434.400391,23057.519531,23447.339844,1481309200,23447.339844
2010-12-01,22973.800781,23612.25,22392.669922,23035.449219,1207300000,23035.449219
2010-11-01,23366.820312,24988.570312,22782.980469,23007.990234,1944897000,23007.990234
2010-10-04,22542.359375,23866.869141,22504.050781,23096.320312,2237593700,23096.320312
2010-09-01,20570.519531,22439.189453,20529.869141,22358.169922,1592809100,22358.169922
2010-08-02,21221.429688,21805.939453,20372.289062,20536.490234,1270031400,20536.490234
2010-07-01,20128.990234,21199.550781,19777.830078,21029.810547,1270317300,21029.810547
2010-06-01,19600.570312,20957.089844,19211.669922,20128.990234,1406631100,20128.990234
2010-05-03,20799.789062,21011.949219,18971.519531,19765.189453,1771415700,19765.189453
2010-04-01,21390.890625,22388.769531,20763.339844,21108.589844,1722752500,21108.589844
2010-03-01,20853.080078,21450.980469,20575.779297,21239.349609,1739336000,21239.349609
2010-02-01,19987.669922,20780.50,19423.050781,20608.699219,1432794400,20608.699219
2010-01-04,21860.039062,22671.919922,19916.339844,20121.990234,2183563400,20121.990234
2009-12-01,21813.419922,22593.720703,20932.769531,21872.50,1292214400,21872.50
2009-11-02,21194.119141,23099.570312,21002.490234,21821.50,1746149100,21821.50
2009-10-01,20955.25,22620.009766,20305.060547,21752.869141,1688759900,21752.869141
2009-09-01,19961.740234,21929.789062,19425.859375,20955.25,1776143300,20955.25
2009-08-03,20582.679688,21196.75,19592.070312,19724.189453,2131808800,19724.189453
2009-07-02,18780.960938,20712.660156,17185.960938,20573.330078,2125622400,20573.330078
2009-06-01,18499.919922,19161.970703,17375.960938,18378.730469,2933420100,18378.730469
2009-05-01,15520.990234,18227.789062,15520.990234,18171.00,3010386300,18171.00
2009-04-01,13746.179688,15977.129883,13411.790039,15520.990234,2721382900,15520.990234
2009-03-02,12522.610352,14257.55957,11344.580078,13576.019531,2833493200,13576.019531
2009-02-02,13194.00,13976.30957,12634.839844,12811.570312,2202790100,12811.570312
2009-01-02,14448.219727,15763.549805,12439.129883,13278.209961,3488685800,13278.209961
2008-12-01,13775.280273,15781.049805,13344.599609,14387.480469,1946238200,14387.480469
2008-11-03,14436.030273,15317.830078,11814.80957,13888.240234,2634674400,13888.240234
2008-10-02,17870.429688,18285.679688,10676.290039,13968.669922,3719903000,13968.669922
2008-09-01,20999.320312,21066.580078,16283.719727,18016.210938,3103854200,18016.210938
2008-08-01,22497.900391,22881.269531,20350.480469,21261.890625,1846791400,21261.890625
2008-07-02,21785.390625,23369.050781,20988.740234,22731.099609,2124493900,22731.099609
2008-06-02,24542.289062,24923.279297,21773.669922,22102.009766,1942830800,22102.009766
2008-05-01,25755.349609,26387.369141,24100.310547,24533.119141,1886112300,24533.119141
2008-04-01,23084.929688,26066.50,22700.50,25755.349609,2356963600,25755.349609
2008-03-03,23491.570312,23923.199219,20572.919922,22849.199219,2562409600,22849.199219
2008-02-01,23791.919922,25101.410156,22569.529297,24331.669922,2330303800,24331.669922
2008-01-02,27632.199219,27853.599609,21709.630859,23455.740234,3182325300,23455.740234
2007-12-03,28825.029297,29962.929688,26093.960938,27812.650391,2006839600,27812.650391
2007-11-01,31783.470703,31897.490234,25861.730469,28643.609375,2726732600,28643.609375
2007-10-01,27142.470703,31958.410156,26746.630859,31352.580078,3226831100,31352.580078
2007-09-03,23611.019531,27254.970703,23578.109375,27142.470703,2289364600,27142.470703
2007-08-01,23018.199219,24089.00,19386.720703,23984.140625,2768894200,23984.140625
2007-07-03,22004.140625,23557.740234,21960.759766,23184.939453,2196569000,23184.939453
2007-06-01,20717.269531,22085.589844,20433.519531,21772.730469,1915006900,21772.730469
2007-05-01,20318.980469,21088.859375,20184.480469,20634.470703,1283781000,20634.470703
2007-04-02,19900.009766,20868.070312,19672.939453,20318.980469,1524771100,20318.980469
2007-03-01,19581.859375,19880.259766,18659.230469,19800.929688,1335275000,19800.929688
2007-02-01,20251.570312,20844.25,19381.880859,19651.509766,1040560100,19651.509766
2007-01-02,20004.839844,20971.460938,19350.50,20106.419922,1346183300,20106.419922
2006-12-01,18922.529297,20049.029297,18587.720703,19964.720703,1105896000,19964.720703
2006-11-01,18376.390625,19404.009766,18376.390625,18960.480469,971056600,18960.480469
2006-10-02,17543.050781,18465.539062,17428.099609,18324.349609,734552100,18324.349609
2006-09-01,17373.169922,17683.449219,16921.529297,17543.050781,607846600,17543.050781
