Date,Open,High,Low,Close,Volume,Adj Close
2016-09-01,28459.089844,28548.849609,28386.609375,28423.480469,33600,28423.480469
2016-08-01,28083.080078,28532.25,27627.970703,28452.169922,13200,28452.169922
2016-07-01,27064.330078,28240.199219,27034.140625,28051.859375,13800,28051.859375
2016-06-01,26684.460938,27105.410156,25911.330078,26999.720703,11500,26999.720703
2016-05-02,25565.439453,26837.199219,25057.929688,26667.960938,13900,26667.960938
2016-04-01,25301.699219,26100.539062,24523.199219,25606.619141,13900,25606.619141
2016-03-01,23153.320312,25479.619141,23133.179688,25341.859375,15600,25341.859375
2016-02-01,24982.220703,25002.320312,22494.609375,23002.00,20100,23002.00
2016-01-04,26116.519531,26116.519531,23839.759766,24870.689453,12200,24870.689453
2015-12-01,26201.269531,26256.419922,24867.730469,26117.539062,10200,26117.539062
2015-11-02,26641.689453,26824.300781,25451.419922,26145.669922,10700,26145.669922
2015-10-01,26344.189453,27618.140625,26168.710938,26656.830078,12800,26656.830078
2015-09-01,26127.039062,26471.820312,24833.539062,26154.830078,17000,26154.830078
2015-08-03,28089.089844,28417.589844,25298.419922,26283.089844,14100,26283.089844
2015-07-01,27823.650391,28578.330078,27416.390625,28114.560547,10000,28114.560547
2015-06-01,27770.789062,27968.75,26307.070312,27780.830078,11400,27780.830078
2015-05-01,27242.050781,28071.160156,26423.990234,27828.439453,10900,27828.439453
2015-04-01,27954.859375,29094.609375,26897.539062,27011.310547,10900,27011.310547
2015-03-02,29533.419922,30024.740234,27248.449219,27957.490234,12100,27957.490234
2015-02-02,29143.630859,29522.859375,28044.490234,29220.119141,13000,29220.119141
2015-01-02,27521.279297,29844.160156,26776.119141,29182.949219,11600,29182.949219
2014-12-01,28748.220703,28809.640625,26469.419922,27499.419922,10300,27499.419922
2014-11-03,27943.039062,28822.369141,27739.560547,28693.990234,9900,28693.990234
2014-10-01,26681.470703,27894.320312,25910.769531,27865.830078,8800,27865.830078
2014-09-01,26733.179688,27354.990234,26220.490234,26630.509766,8400,26630.509766
2014-08-01,25753.919922,26674.380859,25232.820312,26638.109375,8600,26638.109375
2014-07-01,25469.939453,26300.169922,24892.00,25894.970703,10900,25894.970703
2014-06-02,24368.960938,25735.869141,24270.199219,25413.779297,13300,25413.779297
2014-05-02,22493.589844,25375.630859,22277.039062,24217.339844,16000,24217.339844
2014-04-01,22455.230469,22939.310547,22197.509766,22417.800781,9100,22417.800781
2014-03-03,21079.269531,22467.210938,20920.980469,22386.269531,18800,22386.269531
2014-02-03,20479.029297,21140.509766,19963.119141,21120.119141,9300,21120.119141
2014-01-01,21222.189453,21409.660156,20343.779297,20513.849609,9100,20513.849609
2013-12-02,20771.269531,21483.740234,20568.699219,21170.679688,9600,21170.679688
2013-11-01,21158.810547,21293.880859,20137.669922,20791.929688,10700,20791.929688
2013-10-01,19452.050781,21205.439453,19264.720703,21164.519531,11700,21164.519531
2013-09-02,18691.830078,20739.689453,18166.169922,19379.769531,13700,19379.769531
2013-08-01,19443.289062,19569.199219,17448.710938,18619.720703,16100,18619.720703
2013-07-01,19352.480469,20351.060547,19126.820312,19345.699219,9900,19345.699219
2013-06-03,19859.220703,19860.189453,18467.160156,19395.810547,10500,19395.810547
2013-05-02,19459.330078,20443.619141,19451.259766,19760.300781,9400,19760.300781
2013-04-01,18890.810547,19622.679688,18144.220703,19504.179688,9800,19504.179688
2013-03-01,18876.679688,19754.660156,18568.429688,18835.769531,10900,18835.769531
2013-02-01,19907.210938,19966.689453,18793.970703,18861.539062,9700,18861.539062
2013-01-02,19693.300781,20203.660156,19596.380859,19894.980469,9700,19894.980469
2012-12-03,19342.830078,19612.179688,19149.029297,19426.710938,9000,19426.710938
2012-11-01,18487.900391,19372.699219,18255.689453,19339.900391,8700,19339.900391
2012-10-01,18784.640625,19137.289062,18393.419922,18505.380859,9800,18505.380859
2012-09-03,17465.599609,18869.939453,17250.800781,18762.740234,11800,18762.740234
2012-08-01,17244.439453,17972.539062,17026.970703,17380.75,10600,17380.75
2012-07-02,17438.679688,17631.189453,16598.480469,17236.179688,10000,17236.179688
2012-06-01,16217.480469,17448.480469,15748.980469,17429.980469,11000,17429.980469
2012-05-02,17370.929688,17432.330078,15809.709961,16218.530273,12000,16218.530273
2012-04-02,17429.960938,17664.099609,17010.160156,17318.810547,11600,17318.810547
2012-03-01,17714.619141,18040.689453,16920.609375,17404.199219,17100,17404.199219
2012-02-01,17179.640625,18523.779297,17061.550781,17752.679688,22400,17752.679688
2012-01-02,15534.669922,17258.970703,15358.019531,17193.550781,17500,17193.550781
2011-12-01,16555.929688,17003.710938,15135.860352,15454.919922,18200,15454.919922
2011-11-01,17540.550781,17702.259766,15478.69043,16123.459961,18400,16123.459961
2011-10-03,16255.969727,17908.130859,15745.429688,17705.009766,17000,17705.009766
2011-09-02,16963.669922,17211.800781,15801.009766,16453.759766,16800,16453.759766
2011-08-01,18352.230469,18440.070312,15765.530273,16676.75,14800,16676.75
2011-07-01,18974.960938,19131.699219,18131.859375,18197.199219,12600,18197.199219
2011-06-01,18527.119141,18873.390625,17314.380859,18845.869141,12700,18845.869141
2011-05-02,19224.050781,19253.869141,17786.130859,18503.279297,13700,18503.279297
2011-04-01,19463.109375,19811.140625,18976.189453,19135.960938,13400,19135.960938
2011-03-01,17982.279297,19575.160156,17792.169922,19445.220703,17700,19445.220703
2011-02-01,18425.179688,18690.970703,17295.619141,17823.400391,23200,17823.400391
2011-01-03,20621.609375,20664.800781,18038.480469,18327.759766,16600,18327.759766
2010-12-01,19529.990234,20552.029297,19074.570312,20509.089844,13800,20509.089844
2010-11-01,20272.490234,21108.640625,18954.820312,19521.25,14600,19521.25
