Date,Open,High,Low,Close,Volume,Adj Close
2016-09-01,14573.299805,14705.299805,14571.099609,14683.900391,437370800,14683.900391
2016-08-02,14555.200195,14855.700195,14428.200195,14598.00,183978200,14598.00
2016-07-04,14200.099609,14609.00,14080.200195,14582.700195,202945500,14582.700195
2016-06-01,14017.00,14450.900391,13609.599609,14064.50,249192700,14064.50
2016-05-02,13963.900391,14172.400391,13535.50,14065.799805,242501100,14065.799805
2016-04-01,13404.599609,13972.599609,13217.200195,13951.50,251154300,13951.50
2016-03-01,12896.299805,13685.50,12858.00,13494.400391,287927800,13494.400391
2016-02-01,12766.200195,12984.700195,11985.700195,12860.400391,292631900,12860.400391
2016-01-04,12920.599609,12954.900391,11531.200195,12822.099609,273053800,12822.099609
2015-12-01,13488.400391,13653.700195,12617.700195,13010.00,219360700,13010.00
2015-11-02,13531.00,13790.099609,13030.50,13469.799805,205333100,13469.799805
2015-10-01,13362.50,14053.200195,13086.400391,13529.200195,242957200,13529.200195
2015-09-01,13691.799805,13876.00,12964.099609,13307.00,223449900,13307.00
2015-08-04,14465.799805,14622.400391,12705.200195,13859.099609,224090900,13859.099609
2015-07-02,14588.200195,14748.00,13938.900391,14468.700195,181656700,14468.700195
2015-06-01,15040.900391,15182.200195,14482.200195,14553.299805,177564400,14553.299805
2015-05-01,15224.400391,15416.599609,14934.299805,15014.099609,188209200,15014.099609
2015-04-01,14925.200195,15524.799805,14878.50,15224.50,190584200,15224.50
2015-03-02,15240.900391,15283.700195,14606.200195,14902.400391,212776800,14902.400391
2015-02-02,14713.900391,15349.00,14713.900391,15234.299805,243842700,15234.299805
2015-01-02,14637.299805,14853.299805,13892.599609,14673.50,262037700,14673.50
2014-12-01,14753.50,14789.00,13635.50,14632.400391,277414800,14632.400391
2014-11-03,14632.200195,15184.400391,14327.00,14744.700195,213598900,14744.700195
2014-10-01,14958.50,14958.50,13646.799805,14613.299805,220998400,14613.299805
2014-09-02,15626.900391,15685.099609,14821.700195,14960.50,188320700,14960.50
2014-08-01,15330.799805,15653.400391,15056.099609,15625.700195,144592100,15625.700195
2014-07-02,15146.00,15527.299805,15021.099609,15330.700195,160511500,15330.700195
2014-06-02,14604.200195,15146.00,14604.200195,15146.00,167437500,15146.00
2014-05-01,14651.900391,14765.200195,14473.799805,14604.200195,153145200,14604.200195
2014-04-01,14335.299805,14662.00,14221.400391,14651.900391,175205200,14651.900391
2014-03-03,14209.700195,14406.900391,14139.299805,14335.299805,184516100,14335.299805
2014-02-03,13694.900391,14280.900391,13450.299805,14209.599609,203253800,14209.599609
2014-01-02,13621.400391,14002.400391,13473.200195,13694.900391,188198000,13694.900391
2013-12-02,13395.400391,13644.299805,13059.700195,13621.599609,148112000,13621.599609
2013-11-01,13362.900391,13517.00,13285.200195,13395.400391,133649300,13395.400391
2013-10-01,12787.200195,13471.099609,12678.00,13361.299805,164110500,13361.299805
2013-09-03,12654.299805,12964.900391,12654.299805,12787.200195,136404900,12787.200195
2013-08-01,12486.599609,12812.599609,12400.099609,12653.900391,119793100,12653.900391
2013-07-02,12178.00,12772.099609,12055.599609,12486.599609,34380300,12486.599609
2013-06-03,12661.200195,12681.200195,11759.00,12129.099609,2002800,12129.099609
2013-05-01,12408.00,12889.299805,12276.00,12650.400391,26483500,12650.400391
2013-04-01,12751.599609,12751.599609,11916.599609,12456.50,184621200,12456.50
